,year,age,sex,consultations,population,perCapita
2375,2013,16,m,31829.0,33870.0,0.9397401830528491
2378,2013,17,m,33432.0,33743.0,0.9907832735678511
2380,2013,18,m,37779.0,33593.0,1.124609293602834
2383,2013,19,m,38078.0,33695.0,1.1300786466834842
2385,2013,20,m,38641.0,34549.0,1.1184404758459001
2388,2013,21,m,40540.0,34817.0,1.1643737254789328
2391,2013,22,m,41697.0,34977.0,1.1921262543957458
2394,2013,23,m,43757.0,34734.0,1.2597742845626763
2396,2013,24,m,44846.0,34412.0,1.3032081831919098
2399,2013,25,m,44585.0,33416.0,1.3342410821163515
2402,2013,26,m,44902.0,34031.0,1.319444036319826
2405,2013,27,m,46452.0,33602.0,1.3824177132313553
2408,2013,28,m,47552.0,33596.0,1.4154065960233362
2411,2013,29,m,48634.0,34227.0,1.4209250007304175
2414,2013,30,m,50384.0,34725.0,1.450943124550036
2417,2013,31,m,51092.0,33920.0,1.50625
2420,2013,32,m,52610.0,34747.0,1.5140875471263706
2423,2013,33,m,52883.0,34482.0,1.5336407400962822
2426,2013,34,m,54695.0,34396.0,1.590155832073497
2429,2013,35,m,54410.0,33555.0,1.6215169125316644
2431,2013,36,m,54408.0,34571.0,1.573804633941743
2433,2013,37,m,57203.0,35415.0,1.6152195397430467
2435,2013,38,m,60324.0,36874.0,1.635949449476596
2437,2013,39,m,63946.0,37495.0,1.7054540605414055
2440,2013,40,m,65824.0,38622.0,1.7043136036455906
2443,2013,41,m,67681.0,38699.0,1.748908240523011
2445,2013,42,m,67836.0,38375.0,1.76771335504886
2448,2013,43,m,70760.0,39233.0,1.8035837177885963
2450,2013,44,m,72640.0,38973.0,1.8638544633464194
2452,2013,45,m,72979.0,37895.0,1.925821348462858
2455,2013,46,m,72750.0,38068.0,1.9110539035410319
2457,2013,47,m,75212.0,37445.0,2.008599278942449
2460,2013,48,m,75104.0,36838.0,2.038764319452739
2462,2013,49,m,73665.0,35042.0,2.1021916557274127
2464,2013,50,m,74124.0,34412.0,2.1540160409159594
2466,2013,51,m,74203.0,33714.0,2.2009550928397696
2469,2013,52,m,73423.0,33294.0,2.2052922448489216
2472,2013,53,m,75633.0,33453.0,2.2608734642632946
2475,2013,54,m,76763.0,32855.0,2.3364175924516815
2477,2013,55,m,77733.0,32053.0,2.425139612516769
2479,2013,56,m,77992.0,32202.0,2.421961368859077
2481,2013,57,m,80322.0,31386.0,2.5591665073599694
2483,2013,58,m,80194.0,30490.0,2.630173827484421
2485,2013,59,m,81918.0,30037.0,2.7272364084296035
2488,2013,60,m,83988.0,29623.0,2.835229382574351
2490,2013,61,m,82226.0,28378.0,2.8975262527309886
2492,2013,62,m,82105.0,28610.0,2.8698007689619014
2494,2013,63,m,83553.0,28569.0,2.924603591305261
2496,2013,64,m,86248.0,28832.0,2.9913984461709213
2498,2013,65,m,88693.0,28886.0,3.0704493526275702
2501,2013,66,m,91661.0,29757.0,3.080317236280539
2504,2013,67,m,89455.0,26071.0,3.431207088335699
2506,2013,68,m,85178.0,24842.0,3.4287899524997987
2508,2013,69,m,82328.0,21617.0,3.8084840634685664
2510,2013,70,m,72626.0,19383.0,3.746891606046536
2512,2013,71,m,66867.0,16450.0,4.064863221884498
2515,2013,72,m,62077.0,16807.0,3.693520556910811
2517,2013,73,m,64668.0,15730.0,4.111125238397966
2519,2013,74,m,63738.0,14702.0,4.335328526731057
2521,2013,75,m,62165.0,13455.0,4.620215533259011
2523,2013,76,m,59239.0,12560.0,4.716480891719745
2525,2013,77,m,55597.0,11355.0,4.896257155438133
2527,2013,78,m,52426.0,10856.0,4.829218865143699
2530,2013,79,m,51787.0,10359.0,4.99922772468385
2532,2013,80,m,51939.0,10373.0,5.007133905331148
2534,2013,81,m,50965.0,9540.0,5.3422431865828095
2536,2013,82,m,47212.0,9039.0,5.223144153114283
2538,2013,83,m,43592.0,8039.0,5.4225649956462245
2541,2013,84,m,38012.0,7322.0,5.191477738322862
2544,2013,85,m,33794.0,6376.0,5.300188205771644
2547,2013,86,m,29800.0,5924.0,5.030384875084402
2549,2013,87,m,26950.0,5182.0,5.2006947124662295
2551,2013,88,m,22423.0,4355.0,5.148794489092997
2553,2013,89,m,17517.0,3660.0,4.786065573770492
